797348948-2887.csv_1: True Class: high, Predicted: high, Probability: 0.5424275132610679
797348948-2887.csv_2: True Class: low, Predicted: inactive, Probability: 0.7311109775361081
797648687-2888.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112504505570225
797948598-2889.csv_1: True Class: low, Predicted: inactive, Probability: 0.7380586439748387
797948598-2889.csv_2: True Class: high, Predicted: high, Probability: 0.6856682183940138
798248787-2890.csv_1: True Class: high, Predicted: inactive, Probability: 0.753067154913104
798248787-2890.csv_2: True Class: low, Predicted: inactive, Probability: 0.7159170185017448
798548814-2891.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112429542365717
798848774-2892.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112533902589759
799148663-2893.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112494216571384
799448580-2894.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
799748544-2895.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729453
79990156-2896.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112316360435325
800048508-2897.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112420723089189
800348475-2898.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112314890522793
800648514-2899.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112357517805812
800948524-2900.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
801248488-2901.csv_1: True Class: low, Predicted: inactive, Probability: 0.7513996898498657
801248488-2901.csv_2: True Class: high, Predicted: high, Probability: 0.87737485751831
801548452-2902.csv_1: True Class: high, Predicted: inactive, Probability: 0.5057161644588994
801548452-2902.csv_2: True Class: low, Predicted: inactive, Probability: 0.7288395791423112
801848396-2903.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112971897120532
802147985-2904.csv_1: True Class: low, Predicted: inactive, Probability: 0.7294328174867183
802147985-2904.csv_2: True Class: high, Predicted: high, Probability: 0.5066383754559075
802447804-2905.csv_1: True Class: high, Predicted: high, Probability: 0.537005203176031
802447804-2905.csv_2: True Class: low, Predicted: inactive, Probability: 0.7307956978486652
802747993-2906.csv_1: True Class: low, Predicted: inactive, Probability: 0.711217524680551
80290194-2907.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112357517805812
803048128-2908.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112220815196231
803348230-2909.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112533902589759
803648119-2910.csv_1: True Class: low, Predicted: inactive, Probability: 0.7489868049249699
803648119-2910.csv_2: True Class: high, Predicted: high, Probability: 0.8518522091264653
803948065-2911.csv_1: True Class: high, Predicted: high, Probability: 0.8946039910044583
804248104-2912.csv_1: True Class: high, Predicted: high, Probability: 0.8945421653058849
804548089-2913.csv_1: True Class: high, Predicted: high, Probability: 0.7304210473529581
804548089-2913.csv_2: True Class: low, Predicted: inactive, Probability: 0.7430196619626919
804548089-2913.csv_3: True Class: high, Predicted: inactive, Probability: 0.7833728023540829
804848034-2914.csv_1: True Class: high, Predicted: high, Probability: 0.7052500470246399
804848034-2914.csv_2: True Class: low, Predicted: inactive, Probability: 0.7487220414877269
804848034-2914.csv_3: True Class: high, Predicted: inactive, Probability: 0.6581536211019615
805147623-2915.csv_1: True Class: high, Predicted: inactive, Probability: 0.7104443545987672
805147623-2915.csv_2: True Class: low, Predicted: inactive, Probability: 0.7185513410453809
805447413-2916.csv_1: True Class: low, Predicted: inactive, Probability: 0.7327686676772743
805447413-2916.csv_2: True Class: high, Predicted: high, Probability: 0.5788142941540054
805747527-2917.csv_1: True Class: high, Predicted: high, Probability: 0.8945055127604687
80590204-2918.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729451
806047479-2919.csv_1: True Class: high, Predicted: high, Probability: 0.8944505128740977
806347386-2920.csv_1: True Class: high, Predicted: high, Probability: 0.8948589696672544
806647650-2921.csv_1: True Class: high, Predicted: high, Probability: 0.8947298333380981
806947799-2922.csv_1: True Class: high, Predicted: high, Probability: 0.8898489620790035
806947799-2922.csv_2: True Class: low, Predicted: inactive, Probability: 0.7527341968820227
807247763-2923.csv_1: True Class: low, Predicted: inactive, Probability: 0.7305365434985656
807247763-2923.csv_2: True Class: high, Predicted: high, Probability: 0.5304615731998574
807547619-2924.csv_1: True Class: high, Predicted: high, Probability: 0.5183604907931004
807547619-2924.csv_2: True Class: low, Predicted: inactive, Probability: 0.7299771358916611
807847448-2925.csv_1: True Class: low, Predicted: inactive, Probability: 0.711220611576202
808147562-2926.csv_1: True Class: low, Predicted: inactive, Probability: 0.7462820503083976
808147562-2926.csv_2: True Class: high, Predicted: high, Probability: 0.81867077751463
808447618-2927.csv_1: True Class: high, Predicted: inactive, Probability: 0.7002011614407024
808447618-2927.csv_2: True Class: low, Predicted: inactive, Probability: 0.7191136021346678
808747581-2928.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729452
80890168-2929.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112425132729453
809047545-2930.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112429542365717
809347505-2931.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112533902589759
809647394-2932.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112451590487041
8099015-2933.csv_1: True Class: inactive, Predicted: inactive, Probability: 1.0
809947340-2934.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112314890522793
810247379-2935.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112394265163591
810547364-2936.csv_1: True Class: low, Predicted: inactive, Probability: 0.7408274891902197
810547364-2936.csv_2: True Class: high, Predicted: high, Probability: 0.7351726172181934
810847328-2937.csv_1: True Class: high, Predicted: high, Probability: 0.7351726172181935
810847328-2937.csv_2: True Class: low, Predicted: inactive, Probability: 0.7408274891902197
811147292-2938.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112426602608654
811447255-2939.csv_1: True Class: low, Predicted: inactive, Probability: 0.7159226952631641
811447255-2939.csv_2: True Class: high, Predicted: inactive, Probability: 0.7531168157261632
811747219-2940.csv_1: True Class: high, Predicted: high, Probability: 0.6639984568311147
811747219-2940.csv_2: True Class: low, Predicted: inactive, Probability: 0.7369617329991648
81190132-2941.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.7112435421874521
812047183-2942.csv_1: True Class: low, Predicted: inactive, Probability: 0.7211328981158052
812047183-2942.csv_2: True Class: high, Predicted: inactive, Probability: 0.6633646280140122
812347146-2943.csv_1: True Class: high, Predicted: inactive, Probability: 0.6741182821300755
812347146-2943.csv_2: True Class: low, Predicted: inactive, Probability: 0.7205569685148328
812647110-2944.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729453
812947074-2945.csv_1: True Class: low, Predicted: inactive, Probability: 0.7112425132729451
813247037-2946.csv_1: True Class: low, Predicted: inactive, Probability: 0.7495235682926622
