794349080-2876.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614344688685356
794649193-2877.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614311117821917
794949249-2878.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614255964483363
795249213-2879.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614255964483363
795549177-2880.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614245772941487
795849121-2881.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614032937871974
796148710-2882.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614151648635566
796448500-2883.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614345288160004
796748614-2884.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614377060063371
79690189-2885.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614257762985435
797048781-2886.csv_1: True Class: high, Predicted: inactive, Probability: 0.6454933184371793
797048781-2886.csv_2: True Class: low, Predicted: inactive, Probability: 0.6539880345121338
797048781-2886.csv_3: True Class: high, Predicted: inactive, Probability: 0.6476786346832665
797348948-2887.csv_1: True Class: high, Predicted: inactive, Probability: 0.6514738521853891
797348948-2887.csv_2: True Class: low, Predicted: inactive, Probability: 0.6529759981570548
797648687-2888.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614223591173422
797948598-2889.csv_1: True Class: low, Predicted: inactive, Probability: 0.6498451123137484
797948598-2889.csv_2: True Class: high, Predicted: inactive, Probability: 0.6546087602006619
798248787-2890.csv_1: True Class: high, Predicted: inactive, Probability: 0.6447164011304573
798248787-2890.csv_2: True Class: low, Predicted: inactive, Probability: 0.6595007094939975
798548814-2891.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614254165979694
798848774-2892.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614211600927548
799148663-2893.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614227787742727
799448580-2894.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483363
799748544-2895.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483363
79990156-2896.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614300327069293
800048508-2897.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614257762985435
800348475-2898.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614300926557055
800648514-2899.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614283541340026
800948524-2900.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483363
801248488-2901.csv_1: True Class: low, Predicted: inactive, Probability: 0.6435456643295001
801248488-2901.csv_2: True Class: high, Predicted: inactive, Probability: 0.6605846180804765
801548452-2902.csv_1: True Class: high, Predicted: inactive, Probability: 0.6504722271703227
801548452-2902.csv_2: True Class: low, Predicted: inactive, Probability: 0.6539787766410986
801848396-2903.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614032937871974
802147985-2904.csv_1: True Class: low, Predicted: inactive, Probability: 0.6537178378568824
802147985-2904.csv_2: True Class: high, Predicted: inactive, Probability: 0.6507291683797678
802447804-2905.csv_1: True Class: high, Predicted: inactive, Probability: 0.6513607963314006
802447804-2905.csv_2: True Class: low, Predicted: inactive, Probability: 0.6531157878637132
802747993-2906.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614357877086885
80290194-2907.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614283541340027
803048128-2908.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614339293405476
803348230-2909.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614211600927548
803648119-2910.csv_1: True Class: low, Predicted: inactive, Probability: 0.6447145217607783
803648119-2910.csv_2: True Class: high, Predicted: inactive, Probability: 0.6594977441017852
803948065-2911.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614300926557055
804248104-2912.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614268553964419
804548089-2913.csv_1: True Class: high, Predicted: inactive, Probability: 0.6557123291940806
804548089-2913.csv_2: True Class: low, Predicted: inactive, Probability: 0.647548315531279
804548089-2913.csv_3: True Class: high, Predicted: inactive, Probability: 0.6438049669425164
804848034-2914.csv_1: True Class: high, Predicted: inactive, Probability: 0.6550801799692934
804848034-2914.csv_2: True Class: low, Predicted: inactive, Probability: 0.6448419596201621
804848034-2914.csv_3: True Class: high, Predicted: inactive, Probability: 0.6471585671261276
805147623-2915.csv_1: True Class: high, Predicted: inactive, Probability: 0.6458744920214771
805147623-2915.csv_2: True Class: low, Predicted: inactive, Probability: 0.6583994351413553
805447413-2916.csv_1: True Class: low, Predicted: inactive, Probability: 0.652237789158739
805447413-2916.csv_2: True Class: high, Predicted: inactive, Probability: 0.652237789158739
805747527-2917.csv_1: True Class: high, Predicted: inactive, Probability: 0.661424936996211
80590204-2918.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
806047479-2919.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614220593618589
806347386-2920.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614434607904677
806647650-2921.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614366869129703
806947799-2922.csv_1: True Class: high, Predicted: inactive, Probability: 0.6611857143596537
806947799-2922.csv_2: True Class: low, Predicted: inactive, Probability: 0.6428933443864688
807247763-2923.csv_1: True Class: low, Predicted: inactive, Probability: 0.6532305470476628
807247763-2923.csv_2: True Class: high, Predicted: inactive, Probability: 0.6512245229206269
807547619-2924.csv_1: True Class: high, Predicted: inactive, Probability: 0.6509728280846707
807547619-2924.csv_2: True Class: low, Predicted: inactive, Probability: 0.6534778188315222
807847448-2925.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614345288160012
808147562-2926.csv_1: True Class: low, Predicted: inactive, Probability: 0.6460088815167563
808147562-2926.csv_2: True Class: high, Predicted: inactive, Probability: 0.6582886128845505
808447618-2927.csv_1: True Class: high, Predicted: inactive, Probability: 0.6461361069696109
808447618-2927.csv_2: True Class: low, Predicted: inactive, Probability: 0.6581628086476501
808747581-2928.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483361
80890168-2929.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483359
809047545-2930.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614254165979694
809347505-2931.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614211600927548
809647394-2932.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614245173437429
8099015-2933.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614255964483363
809947340-2934.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614300926557055
810247379-2935.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614268553964419
810547364-2936.csv_1: True Class: low, Predicted: inactive, Probability: 0.648569689207794
810547364-2936.csv_2: True Class: high, Predicted: inactive, Probability: 0.6558354895527045
810847328-2937.csv_1: True Class: high, Predicted: inactive, Probability: 0.6558354895527044
810847328-2937.csv_2: True Class: low, Predicted: inactive, Probability: 0.6485696892077939
811147292-2938.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255364982313
811447255-2939.csv_1: True Class: low, Predicted: inactive, Probability: 0.6594983492873436
811447255-2939.csv_2: True Class: high, Predicted: inactive, Probability: 0.6447149754031595
811747219-2940.csv_1: True Class: high, Predicted: inactive, Probability: 0.6541040655495031
811747219-2940.csv_2: True Class: low, Predicted: inactive, Probability: 0.6503459495148073
81190132-2941.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614251767972318
812047183-2942.csv_1: True Class: low, Predicted: inactive, Probability: 0.6573083596584529
812047183-2942.csv_2: True Class: high, Predicted: inactive, Probability: 0.6470357691683097
812347146-2943.csv_1: True Class: high, Predicted: inactive, Probability: 0.6467791186150904
812347146-2943.csv_2: True Class: low, Predicted: inactive, Probability: 0.6575528024773815
812647110-2944.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483364
812947074-2945.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483359
813247037-2946.csv_1: True Class: low, Predicted: inactive, Probability: 0.6444556683343365
813247037-2946.csv_2: True Class: high, Predicted: inactive, Probability: 0.6597402202152777
813547001-2947.csv_1: True Class: high, Predicted: inactive, Probability: 0.6521078957077643
813547001-2947.csv_2: True Class: low, Predicted: inactive, Probability: 0.6523575877657808
813846950-2948.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614077305333637
814146614-2949.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614212799955351
814446508-2950.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614434607904679
814746771-2951.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614306921424946
81490088-2952.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.6614166037347163
815046820-2953.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483363
815346784-2954.csv_1: True Class: low, Predicted: inactive, Probability: 0.661425596448336
815646748-2955.csv_1: True Class: low, Predicted: inactive, Probability: 0.6498398555843077
815646748-2955.csv_2: True Class: high, Predicted: inactive, Probability: 0.6546001488188895
815946711-2956.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614255964483363
816246675-2957.csv_1: True Class: high, Predicted: inactive, Probability: 0.6594983492873437
816246675-2957.csv_2: True Class: low, Predicted: inactive, Probability: 0.6447149754031596
816546639-2958.csv_1: True Class: low, Predicted: inactive, Probability: 0.6435455991902369
816546639-2958.csv_2: True Class: high, Predicted: inactive, Probability: 0.6574306474604187
816546639-2958.csv_3: True Class: low, Predicted: inactive, Probability: 0.6460072061702808
816846602-2959.csv_1: True Class: low, Predicted: inactive, Probability: 0.658040950602298
816846602-2959.csv_2: True Class: high, Predicted: inactive, Probability: 0.6462648052116399
817146566-2960.csv_1: True Class: high, Predicted: inactive, Probability: 0.6614255964483363
817446530-2961.csv_1: True Class: high, Predicted: inactive, Probability: 0.6439361011947109
817446530-2961.csv_2: True Class: low, Predicted: inactive, Probability: 0.660223168472663
817746494-2962.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614224190683846
81789901-2963.csv_1: True Class: inactive, Predicted: inactive, Probability: 0.661423438233412
818046404-2964.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614215198008747
818346300-2965.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614300926557055
818646339-2966.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614283541340027
818946349-2967.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614255964483359
819246312-2968.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614224190683845
819546222-2969.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614215797521659
819846119-2970.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614300327069293
820146157-2971.csv_1: True Class: low, Predicted: inactive, Probability: 0.661421579752167
820446052-2972.csv_1: True Class: low, Predicted: inactive, Probability: 0.6614077305333637
820745716-2973.csv_1: True Class: low, Predicted: inactive, Probability: 0.6447130960216808
