806347386-2920.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236784
806647650-2921.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
806947799-2922.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
806947799-2922.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236783
807247763-2923.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236784
807247763-2923.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236784
807547619-2924.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236784
807547619-2924.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236784
807847448-2925.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
808147562-2926.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
808147562-2926.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236783
808447618-2927.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236784
808447618-2927.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236784
808747581-2928.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
80890168-2929.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
809047545-2930.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
809347505-2931.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
809647394-2932.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
8099015-2933.csv_1: True Class: inactive, Predicted: low, Probability: 0.5672681228236783
809947340-2934.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
810247379-2935.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
810547364-2936.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
810547364-2936.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236783
810847328-2937.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
810847328-2937.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236783
811147292-2938.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
811447255-2939.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
811447255-2939.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236783
811747219-2940.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
811747219-2940.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236783
81190132-2941.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
812047183-2942.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
812047183-2942.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236783
812347146-2943.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
812347146-2943.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236783
812647110-2944.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
812947074-2945.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
813247037-2946.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
813247037-2946.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236783
813547001-2947.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
813547001-2947.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236783
813846950-2948.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
814146614-2949.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
814446508-2950.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236784
814746771-2951.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
81490088-2952.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
815046820-2953.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
815346784-2954.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
815646748-2955.csv_1: True Class: low, Predicted: low, Probability: 0.5672681228236783
815646748-2955.csv_2: True Class: high, Predicted: low, Probability: 0.5672681228236783
815946711-2956.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
816246675-2957.csv_1: True Class: high, Predicted: low, Probability: 0.5672681228236783
816246675-2957.csv_2: True Class: low, Predicted: low, Probability: 0.5672681228236783
