804248104-2912.csv_1: True Class: high, Predicted: high, Probability: 0.7957783568344792
804548089-2913.csv_1: True Class: high, Predicted: high, Probability: 0.7098070217217299
804548089-2913.csv_2: True Class: low, Predicted: low, Probability: 0.8986479232308133
804548089-2913.csv_3: True Class: high, Predicted: inactive, Probability: 0.5091914076632738
804848034-2914.csv_1: True Class: high, Predicted: high, Probability: 0.6992468227731685
804848034-2914.csv_2: True Class: low, Predicted: low, Probability: 0.8230316601364942
804848034-2914.csv_3: True Class: high, Predicted: high, Probability: 0.5548873029423409
805147623-2915.csv_1: True Class: high, Predicted: high, Probability: 0.5303383112300182
805147623-2915.csv_2: True Class: low, Predicted: low, Probability: 0.9922416284773737
805447413-2916.csv_1: True Class: low, Predicted: low, Probability: 0.9650816078416163
805447413-2916.csv_2: True Class: high, Predicted: high, Probability: 0.6496385270597816
805747527-2917.csv_1: True Class: high, Predicted: high, Probability: 0.7957525953417244
80590204-2918.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
806047479-2919.csv_1: True Class: high, Predicted: high, Probability: 0.7957139485735285
806347386-2920.csv_1: True Class: high, Predicted: high, Probability: 0.7960012538065111
806647650-2921.csv_1: True Class: high, Predicted: high, Probability: 0.7959103465734434
806947799-2922.csv_1: True Class: high, Predicted: high, Probability: 0.792523156169071
806947799-2922.csv_2: True Class: low, Predicted: low, Probability: 0.7459587241736653
807247763-2923.csv_1: True Class: low, Predicted: low, Probability: 0.9724291783958247
807247763-2923.csv_2: True Class: high, Predicted: high, Probability: 0.631233479305806
807547619-2924.csv_1: True Class: high, Predicted: high, Probability: 0.6266128820309818
807547619-2924.csv_2: True Class: low, Predicted: low, Probability: 0.9740160665395226
807847448-2925.csv_1: True Class: low, Predicted: low, Probability: 0.9963978862271063
808147562-2926.csv_1: True Class: low, Predicted: low, Probability: 0.859880418637057
808147562-2926.csv_2: True Class: high, Predicted: high, Probability: 0.7507831714407911
808447618-2927.csv_1: True Class: high, Predicted: high, Probability: 0.5353443181028635
808447618-2927.csv_2: True Class: low, Predicted: low, Probability: 0.991768548561583
808747581-2928.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
80890168-2929.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
809047545-2930.csv_1: True Class: low, Predicted: low, Probability: 0.996389502153541
809347505-2931.csv_1: True Class: low, Predicted: low, Probability: 0.9963855792491604
809647394-2932.csv_1: True Class: low, Predicted: low, Probability: 0.996388673724534
8099015-2933.csv_1: True Class: inactive, Predicted: low, Probability: 0.6216499535641069
809947340-2934.csv_1: True Class: low, Predicted: low, Probability: 0.9963938069330086
810247379-2935.csv_1: True Class: low, Predicted: low, Probability: 0.9963908272461202
810547364-2936.csv_1: True Class: low, Predicted: low, Probability: 0.9189265339044383
810547364-2936.csv_2: True Class: high, Predicted: high, Probability: 0.7118423849870753
810847328-2937.csv_1: True Class: high, Predicted: high, Probability: 0.7118423849870753
810847328-2937.csv_2: True Class: low, Predicted: low, Probability: 0.9189265339044385
811147292-2938.csv_1: True Class: low, Predicted: low, Probability: 0.9963896125964344
811447255-2939.csv_1: True Class: low, Predicted: low, Probability: 0.9941134951424468
811447255-2939.csv_2: True Class: high, Predicted: high, Probability: 0.5081612045026059
811747219-2940.csv_1: True Class: high, Predicted: high, Probability: 0.6825840134079012
811747219-2940.csv_2: True Class: low, Predicted: low, Probability: 0.9457109322987185
81190132-2941.csv_1: True Class: low, Predicted: low, Probability: 0.9963892812576552
812047183-2942.csv_1: True Class: low, Predicted: low, Probability: 0.9898153619544917
812047183-2942.csv_2: True Class: high, Predicted: high, Probability: 0.5525432184518366
812347146-2943.csv_1: True Class: high, Predicted: high, Probability: 0.5476407637542733
812347146-2943.csv_2: True Class: low, Predicted: low, Probability: 0.990415942375234
812647110-2944.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
812947074-2945.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
813247037-2946.csv_1: True Class: low, Predicted: low, Probability: 0.809312801392987
813247037-2946.csv_2: True Class: high, Predicted: high, Probability: 0.772297408228035
813547001-2947.csv_1: True Class: high, Predicted: high, Probability: 0.647297759848675
813547001-2947.csv_2: True Class: low, Predicted: low, Probability: 0.9660577869487657
813846950-2948.csv_1: True Class: low, Predicted: low, Probability: 0.9963731749055764
814146614-2949.csv_1: True Class: low, Predicted: low, Probability: 0.9963856898116178
814446508-2950.csv_1: True Class: low, Predicted: low, Probability: 0.9964060859970235
814746771-2951.csv_1: True Class: low, Predicted: low, Probability: 0.9963943584578355
81490088-2952.csv_1: True Class: low, Predicted: low, Probability: 0.996381375377782
815046820-2953.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166191
815346784-2954.csv_1: True Class: low, Predicted: low, Probability: 0.9963896678166189
815646748-2955.csv_1: True Class: low, Predicted: low, Probability: 0.9390497963447488
815646748-2955.csv_2: True Class: high, Predicted: high, Probability: 0.6911049343140664
815946711-2956.csv_1: True Class: high, Predicted: high, Probability: 0.7957614511273092
816246675-2957.csv_1: True Class: high, Predicted: high, Probability: 0.7687951727048631
816246675-2957.csv_2: True Class: low, Predicted: low, Probability: 0.8186068483086364
816546639-2958.csv_1: True Class: low, Predicted: low, Probability: 0.7739343523440882
816546639-2958.csv_2: True Class: high, Predicted: high, Probability: 0.73752099534655
816546639-2958.csv_3: True Class: low, Predicted: low, Probability: 0.8598323246501538
816846602-2959.csv_1: True Class: low, Predicted: low, Probability: 0.9915140958400697
816846602-2959.csv_2: True Class: high, Predicted: high, Probability: 0.5378065475799088
817146566-2960.csv_1: True Class: high, Predicted: high, Probability: 0.7957614511273092
