82389943-2985.csv_1: True Class: low, Predicted: low, Probability: 0.75018133666944
824045733-2986.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255164
824345696-2987.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
824645660-2988.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206382
824945624-2989.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
825245587-2990.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
825545551-2991.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
825845515-2992.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
826145479-2993.csv_1: True Class: low, Predicted: low, Probability: 0.7501780607262161
826445413-2994.csv_1: True Class: low, Predicted: low, Probability: 0.7490766350722355
826445413-2994.csv_2: True Class: high, Predicted: inactive, Probability: 0.5785184702364414
826745302-2995.csv_1: True Class: high, Predicted: high, Probability: 0.5319406754321266
826745302-2995.csv_2: True Class: low, Predicted: low, Probability: 0.731156998089084
82689895-2996.csv_1: True Class: low, Predicted: low, Probability: 0.7501711447519843
827045191-2997.csv_1: True Class: low, Predicted: low, Probability: 0.7501716907545928
827345092-2998.csv_1: True Class: low, Predicted: low, Probability: 0.7502102729235082
827645205-2999.csv_1: True Class: low, Predicted: low, Probability: 0.7450705991851804
827645205-2999.csv_2: True Class: high, Predicted: inactive, Probability: 0.553487535584189
827945261-3000.csv_1: True Class: high, Predicted: high, Probability: 0.672836297240797
827945261-3000.csv_2: True Class: low, Predicted: low, Probability: 0.7060466062308596
828245225-3001.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
828545189-3002.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255164
828845152-3003.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
829145116-3004.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
829445080-3005.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
829745044-3006.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
82989792-3007.csv_1: True Class: low, Predicted: low, Probability: 0.7501968060142096
830045008-3008.csv_1: True Class: low, Predicted: low, Probability: 0.7501831566255164
830344971-3009.csv_1: True Class: low, Predicted: low, Probability: 0.7040274864352325
830344971-3009.csv_2: True Class: high, Predicted: high, Probability: 0.6829505697289905
830644935-3010.csv_1: True Class: high, Predicted: high, Probability: 0.6748728408431798
830644935-3010.csv_2: True Class: low, Predicted: low, Probability: 0.7056435468062742
830944899-3011.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
831244862-3012.csv_1: True Class: low, Predicted: low, Probability: 0.7501349248015834
831544557-3013.csv_1: True Class: low, Predicted: low, Probability: 0.730356422573038
831544557-3013.csv_2: True Class: high, Predicted: high, Probability: 0.5364680664989266
831844184-3014.csv_1: True Class: high, Predicted: high, Probability: 0.5112831953969956
831844184-3014.csv_2: True Class: low, Predicted: low, Probability: 0.7346387181290778
832144523-3015.csv_1: True Class: low, Predicted: low, Probability: 0.7502253771239434
832444718-3016.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206379
832744681-3017.csv_1: True Class: low, Predicted: low, Probability: 0.7501544002855448
83289830-3018.csv_1: True Class: low, Predicted: low, Probability: 0.7501711447519838
833044484-3019.csv_1: True Class: low, Predicted: low, Probability: 0.7501462097848075
833344245-3020.csv_1: True Class: low, Predicted: low, Probability: 0.7502241032992384
833644434-3021.csv_1: True Class: low, Predicted: low, Probability: 0.7502084530992006
833944536-3022.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
834244500-3023.csv_1: True Class: low, Predicted: low, Probability: 0.7501833386206381
